Annotation,Word,definitions,BM_original,Source,VVAA,A1,A2,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
control,valuable,something of value,worth a lot of money,https://doi.org/10.1075/celcr.14,0,0,0,3,,573,2.93,1.72,3.95,0.2465358675,0.2486548498
control,valuable,having great material or monetary value especially for use or exchange,worth a lot of money,https://doi.org/10.1075/celcr.14,1,1,1,3.9,,504.43,5.12,2.49,3.58,0.2182544938,0.233507415
control,valuable,having worth or merit or value,worth a lot of money,https://doi.org/10.1075/celcr.14,0,0,0,4,,475.33,4.3,1.72,3.29,0.3980320593,0.2554535419
control,roof,a protective covering that covers or forms the top of a building,"the top outer part of a building, temporary structure or vehicle",https://doi.org/10.1075/celcr.14,1,1,1,6.33,1.96,504.33,3.89,3.66,2.75,0.2083659209,0.1745187171
control,roof,protective covering on top of a motor vehicle,"the top outer part of a building, temporary structure or vehicle",https://doi.org/10.1075/celcr.14,1,0,0,3,2.24,401.4,3.96,3.88,2.27,0.1688855432,0.1641492099
control,roof,the inner top surface of a covered area or hollow space,"the top outer part of a building, temporary structure or vehicle",https://doi.org/10.1075/celcr.14,0,0,1,4.78,0.86,514.71,4.69,3.62,3.27,0.1479803962,0.1626706262
control,roof,an upper limit on what is allowed,"the top outer part of a building, temporary structure or vehicle",https://doi.org/10.1075/celcr.14,0,0,0,4.33,0.4,547.33,4.3,2.82,3.54,0.06549507764,0.06835856289
control,roof,provide a building with a roof; cover a building with a roof,"the top outer part of a building, temporary structure or vehicle",https://doi.org/10.1075/celcr.14,,0,0,7,2.88,586,4.2,4.3,2.99,0.3172698198,0.2940823119
control,disturb,move deeply,"to do something that stops a place or situation from being pleasant, calm, or peaceful",https://doi.org/10.1075/celcr.14,0,0,0,0,0,534.5,3.25,2.62,2.69,0.09205163643,0.1130434833
control,disturb,change the arrangement or position of,"to do something that stops a place or situation from being pleasant, calm, or peaceful",https://doi.org/10.1075/celcr.14,0,1,0,5,0,483,4.01,2.6,3.62,0.0569764475,0.08875176652
control,disturb,tamper with,"to do something that stops a place or situation from being pleasant, calm, or peaceful",https://doi.org/10.1075/celcr.14,0,0,0,3,0,600,4.88,3.04,3.73,0.4018709362,0.4051919281
control,disturb,destroy the peace or tranquility of,"to do something that stops a place or situation from being pleasant, calm, or peaceful",https://doi.org/10.1075/celcr.14,1,0,1,5.75,0,478.67,4.16,2.34,3.7,0.2935420523,0.3858500024
control,disturb,damage as if by shaking or jarring,"to do something that stops a place or situation from being pleasant, calm, or peaceful",https://doi.org/10.1075/celcr.14,0,0,0,3.33,0.97,477.33,3.65,3.28,2.57,0.228092278,0.1823181262
control,serve,(sports) a stroke that puts the ball in play,"providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,0,0,7,0.79,379.14,5.34,3.66,3.22,0.09168130644,0.1000211197
control,serve,"serve a purpose, role, or function","providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,0,0,6.6,0,498,5.08,2.35,3.24,0.2659625113,0.2119532476
