Annotation	word	definitions	BM_original	Source	VVAA	A1	A2	precission_definitions_mean	ic_precission_definitions_mean	familiarity_definitions_mean	imageability_definitions_mean	concreteness_definitions_mean	physicality_definitions_mean
control	valuable	something of value	worth a lot of money	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	3.0		573.0	2.93	1.72	3.95
control	valuable	having great material or monetary value especially for use or exchange	worth a lot of money	https://doi.org/10.1075/celcr.14	1.0	1.0	1.0	3.9		504.43	5.12	2.49	3.58
control	valuable	having worth or merit or value	worth a lot of money	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	4.0		475.33	4.3	1.72	3.29
control	roof	a protective covering that covers or forms the top of a building	the top outer part of a building, temporary structure or vehicle	https://doi.org/10.1075/celcr.14	1.0	1.0	1.0	6.33	1.96	504.33	3.89	3.66	2.75
control	roof	protective covering on top of a motor vehicle	the top outer part of a building, temporary structure or vehicle	https://doi.org/10.1075/celcr.14	1.0	1.0	0.0	3.0	2.24	401.4	3.96	3.88	2.27
control	roof	the inner top surface of a covered area or hollow space	the top outer part of a building, temporary structure or vehicle	https://doi.org/10.1075/celcr.14	0.0	1.0	1.0	4.78	0.86	514.71	4.69	3.62	3.27
control	roof	an upper limit on what is allowed	the top outer part of a building, temporary structure or vehicle	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	4.33	0.4	547.33	4.3	2.82	3.54
control	roof	provide a building with a roof; cover a building with a roof	the top outer part of a building, temporary structure or vehicle	https://doi.org/10.1075/celcr.14		1.0	0.0	7.0	2.88	586.0	4.2	4.3	2.99
control	disturb	move deeply	to do something that stops a place or situation from being pleasant, calm, or peaceful	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	0.0	0.0	534.5	3.25	2.62	2.69
control	disturb	change the arrangement or position of	to do something that stops a place or situation from being pleasant, calm, or peaceful	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	5.0	0.0	483.0	04.01	2.6	3.62
control	disturb	tamper with	to do something that stops a place or situation from being pleasant, calm, or peaceful	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	3.0	0.0	600.0	4.88	03.04	3.73
control	disturb	destroy the peace or tranquility of	to do something that stops a place or situation from being pleasant, calm, or peaceful	https://doi.org/10.1075/celcr.14	1.0	0.0	1.0	5.75	0.0	478.67	4.16	2.34	3.7
control	disturb	damage as if by shaking or jarring	to do something that stops a place or situation from being pleasant, calm, or peaceful	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	3.33	0.97	477.33	3.65	3.28	2.57
control	serve	(sports) a stroke that puts the ball in play	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	7.0	0.79	379.14	5.34	3.66	3.22
control	serve	serve a purpose, role, or function	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	6.6	0.0	498.0	05.08	2.35	3.24
control	serve	do duty or hold offices; serve in a specific function	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	4.89	0.0	554.0	04.09	3.11	3.35
control	serve	contribute or conduce to	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	4.33	0.0	558.5	6.78	2.13	2.55
control	serve	be used by; as of a utility	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	5.83	0.0	534.67	3.49	2.86	3.84
control	serve	help to some food; help with food or drink	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	1.0	1.0	1.0	3.71	5.38	552.5	3.45	3.9	3.33
control	serve	provide (usually but not necessarily food)	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	1.0	0.0	0.0	1.17	5.57	514.17	5.24	2.73	2.98
control	serve	devote (part of) one's life or efforts to, as of countries, institutions, or ideas	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	6.0	0.0	465.46	5.64	2.87	3.67
control	serve	promote, benefit, or be useful or beneficial to	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	3.29	0.0	499.17	4.96	2.1	2.82
control	serve	spend time in prison or in a labor camp	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	6.11	02.09	561.4	5.6	3.62	3.43
control	serve	work for or be a servant to	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	1.0	1.0	4.4	0.0	512.0	3.58	04.06	2.35
control	serve	deliver a warrant or summons to someone	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	5.83	0.0	439.25	6.12	3.38	3.26
control	serve	be sufficient; be adequate, either in quality or quantity	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	3.0	3.93	531.57	04.02	2.17	3.29
control	serve	do military service	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	5.67	0.0	456.5	6.28	3.1	2.65
control	serve	mate with	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	6.0		219.0	6.62	4.34	01.09
