Annotation,word,definitions,A1,A2,M-T,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
control,acquired,come into the possession of something concrete or abstract,1,1,1,4.2,0,457,5.97,2.71,2.46,0.05462463051,0.03147680834
control,acquired,"take on a certain form, attribute, or aspect",0,0,0,4,4.99,516.14,5.23,2.4,3.11,0.08547144849,0.09002365619
control,acquired,come to have or undergo a change of,0,0,0,3.5,0.68,445,5.84,2.67,2.72,0.04350491008,0.08047621697
control,acquired,locate,0,0,0,1,7.65,317,5.44,2.97,2.36,0.1103270128,0.11995776
control,acquired,win something through one's efforts,0,0,0,1.75,8.73,437.4,4.52,2.7,3.09,0.03042004944,0.0002726116218
control,acquired,gain knowledge or skills,0,0,0,4.25,0,489.5,4.84,1.98,2.73,0.2513237099,0.1429363017
control,acquired,gain through experience,0,0,0,1,1.36,477.5,6.34,2.02,2.91,0.2282067426,0.1614546627
control,acquired,gotten through environmental forces,0,0,0,1,,449.67,5.32,2.75,2.24,0.145272222,0.08063022854
control,adopted,"choose and follow; as of theories, ideas, policies, strategies o...",0,0,0,6.56,7.18,525.22,5.31,2.34,2.97,0.1022569622,0.1313858123
control,adopted,take up and practice as one's own,0,0,0,1.83,0,545.75,4.9,3.18,2.72,0.05274951458,0.1053230315
control,adopted,"take on titles, offices, duties, responsibilities",,,0,5,0,453,5.5,3.38,2.92,0.02226732224,0.03716890179
control,adopted,"take on a certain form, attribute, or aspect",0,0,0,4,4.99,516.14,5.23,2.4,3.11,0.0559557219,0.07265461683
control,adopted,take into one's family,1,1,1,1.67,6.67,556,5.05,3.75,2.87,0.08319464574,0.09185595314
control,adopted,put into dramatic form,0,0,0,0.67,0,433,3.21,2.58,2.28,0.04222987096,0.07866372913
control,adopted,"take up the cause, ideology, practice, method, of someone and us...",0,0,0,5,0,524.69,5.26,2.81,3.23,0.03549863095,0.07093979395
control,adopted,acquired as your own by free choice,1,1,0,1.5,,515.33,4.53,2.16,3.88,0.0807610328,0.1237070933
control,agree,be in accord; be in agreement,0,0,1,4.17,0,503.67,5.67,1.9,1.9,0.525375098,0.3334628791
control,agree,"consent or assent to a condition, or agree to do something",0,0,1,6.29,0,417,5.08,2.2,3.13,0.2977572996,0.1937001869
control,agree,"be compatible, similar or consistent; coincide in their characte...",0,0,0,2.88,4.7,537.71,5.16,2.32,2.69,0.2237391397,0.1620075818
control,agree,go together,0,0,0,1,0,444.5,5.92,2.94,2.7,0.1726536751,0.220241338
control,agree,show grammatical agreement,0,0,0,2.67,0,474.33,4.86,2.84,3.33,0.2070258198,0.1980101541
control,agree,be agreeable or suitable,0,0,0,2.25,0,567,5.52,2,3.82,0.2551212832,0.3196797147
control,agree,"achieve harmony of opinion, feeling, or purpose",1,1,1,5.67,0,567.71,4.92,1.98,3.06,0.1394332698,0.1458731741
control,alive,possessing life,1,1,1,5.5,,512.5,6.23,2.38,2.6,0.2711784504,0.1346436068
control,alive,,0,0,0,,,,,,,,
control,alive,having life or vigor or spirit,0,0,0,5.5,,565.33,5.17,2.19,3.4,0.3097172529,0.2105842804
control,alive,,0,0,0,,,,,,,,
control,alive,in operation,0,0,0,5,,598,6.12,3.44,3.36,0.07548472285,0.05875770003
control,alive,mentally perceptive and responsive,0,0,0,0,,548.67,4.94,2.03,3.89,0.1149158925,0.1639795403
control,alive,capable of erupting,0,0,0,2,,516.5,4.51,2.21,4.45,0.1551592723,0.2017720416
control,apart,remote and separate physically or socially; ; - W.H.Hudson,0,0,1,2.2,,424,5.08,2.76,2.74,0.2799704373,0.1566051869
control,apart,having characteristics not shared by others; - Vannever Bush,1,0,0,3.5,,499.57,4.55,2.38,2.56,0.1706819112,0.102444916
control,apart,separated or at a distance in place or position or time,1,0,1,5.64,,484.4,5,3.08,3.53,0.2219881572,0.2099436417
control,apart,not taken into account or excluded from consideration,0,0,0,4.67,,495.25,4.89,2.53,4.41,0.1395099005,0.08292378206
control,apart,away from another or others,0,1,1,3,,468,4.53,2.46,3.21,0.2991205951,0.2417633161
control,apart,placed or kept separate and distinct as for a purpose,0,0,0,4.25,,509,5.15,2.42,2.74,0.2559535228,0.1407984987
control,apart,one from the other,0,0,1,0,,469,2.78,3.97,2.36,0.1880554408,0.2588320673
control,apart,into parts or pieces,0,0,1,5.33,,502.5,4.69,3.72,2.65,0.1897727102,0.1392903067
control,ate,take in solid food,1,1,1,3.25,0,530.33,5.58,4.09,2.55,0.1637270019,0.1726868711
control,ate,eat a meal; take a meal,0,0,1,5.83,3.76,515.2,5.21,4.18,3.08,0.4151836503,0.4329187572
control,ate,take in food; used of animals only,0,1,1,3,0,527,5.63,3.78,2.67,0.1669573942,0.1711101197
control,ate,worry or cause anxiety in a persistent way,0,0,0,4.75,0,543.2,5.59,2.35,2.76,-0.02310304237,0.07567297071
control,ate,use up,0,0,0,0,0,589,2.73,2.78,2.33,0.02953766286,0.08846628666
control,ate,"cause to deteriorate due to the action of water, air, or an acid",0,0,0,4.33,0,544.44,5.91,3.55,3.71,0.01929560584,0.05562102156
control,attacked,launch an attack or assault on; begin hostilities or start warfa...,1,1,1,5.45,1.9,488.14,4.9,3.19,2.54,0.1986975398,0.2021361879
control,attacked,attack in speech or writing,0,0,0,5,4.26,427.33,5.66,3.59,3.29,0.2490286551,0.2300553541
control,attacked,take the initiative and go on the offensive,1,0,1,3.8,0,506.25,4.88,2.58,2.98,0.06333152036,0.08021863177
control,attacked,attack someone physically or emotionally,0,1,,2.4,7.74,469.25,4.31,2.9,3.36,0.2146005905,0.2268892955
control,attacked,set to work upon; turn one's energies vigorously to a task,0,0,0,3.5,0,505.8,4.52,3.2,2.81,0.05024233859,0.07882278925
control,attacked,begin to injure,0,0,0,1.5,1.46,455,4.92,3.02,2.1,0.102021303,0.1710594008
control,backbone,a central cohesive source of support and stability,0,0,0,5.17,0.7,471,4.21,2.63,1.98,0.2219076455,0.2700071722
control,backbone,fortitude and determination,0,0,0,7,5.48,288,5.08,1.87,2.74,0.3124047592,0.2295427993
control,backbone,the series of vertebrae forming the axis of the skeleton and pro...,1,1,1,5,1.76,488.43,5.42,3.41,3.42,0.2208745806,0.1260487647
control,backbone,the part of a book's cover that encloses the inner side of the b...,0,0,0,4.43,0.61,548.38,5.71,4.05,3.75,0.04676270283,0.07625991882
control,backbone,the part of a network that connects other networks together,0,0,0,4.71,1.35,451,5.52,3.11,2.56,0.249381946,0.3156680733
control,baked,cook and make edible by putting in a hot oven,1,1,1,3.56,2.72,537.83,4.81,3.96,2.88,0.3193350441,0.2908060352
control,baked,prepare with dry heat in an oven,0,1,1,5,2.56,442.5,5.25,3.72,2.52,0.2978931293,0.2520642802
control,baked,heat by a natural force,0,0,0,4.2,0,359.33,3.9,2.88,2.15,0.05752265259,0.09443705405
control,baked,"be very hot, due to hot weather or exposure to the sun",0,0,0,2.33,0,541.57,5.29,3.81,3.23,0.1251286101,0.15811403
control,baked,dried out by heat or excessive exposure to sunlight,0,0,0,4.62,,396.6,3.89,3.28,2.8,0.1156103529,0.1220286772
control,baked,,0,0,1,,,,,,,,
control,bathing,immersing the body in water or sunshine,0,0,,6,0,510.5,4.06,4.67,3.25,0.2574356906,0.2757308334
control,bathing,the act of washing yourself,0,1,1,4,0.6,552,4.19,3.45,3.57,0.3475159258,0.2995838448
control,bathing,cleanse the entire body,0,0,1,3,8,510,5.56,3.38,3.39,0.1343689179,0.164080251
control,bathing,suffuse with or as if with light,0,0,0,4.5,0,454.5,3.07,4.21,2.42,0.1112752396,0.1422150396
control,bathing,clean one's body by immersion into water,1,1,0,4,8,526.67,4.12,3.89,3.86,0.2258707451,0.2236381896
control,battle,a hostile meeting of opposing military forces in the course of a...,1,1,1,6.1,1.03,436.86,4.67,3.25,3.22,0.2467558605,0.1906223159
control,battle,an energetic attempt to achieve something,0,0,0,2.5,0.6,439.75,5.03,2.29,3.1,0.05518239783,0.09197483025
control,battle,an open clash between two opposing groups,0,1,1,4.14,0.6,477.2,5.03,3.3,2.98,0.1805190824,0.2003461211
control,battle,battle or contend against in or as if in a battle,0,0,,6.43,0,492.67,4.86,3.36,2.15,0.518938899,0.2747618258
control,birth,the time when something begins,0,,,1,,400,4.91,2.48,3.28,0.06171778357,0.1188957791
control,birth,the event of being born,1,1,1,3.67,0.3,580,5.69,2.96,2.09,0.4162874557,0.2956574596
control,birth,the process of giving birth,0,1,1,4.5,0,595.33,5.28,3.18,3.25,0.1093833484,0.0597639936
control,birth,the kinship relation of an offspring to the parents,0,0,1,6.8,0.85,466.33,5.49,2.75,3.25,0.2794534042,0.2006999664
control,birth,a baby born; an offspring,0,0,1,6.6,0.96,450.5,5.04,4.05,2.48,0.5931123892,0.5049277445
control,birth,cause to be born,0,0,1,0.67,1.74,551,5.67,2.82,2.73,0.4083336964,0.2983737513
control,bloom,the organic process of bearing flowers,1,1,1,3,0,504.75,3.93,3.36,2.21,0.2490564464,0.2338123526
control,bloom,reproductive organ of angiosperm plants especially one having sh...,0,1,1,3.18,0.77,459.44,4.22,3.36,3.28,0.1603122271,0.195990733
control,bloom,the best time of youth,0,0,0,3.33,6.82,464,5.22,2.65,4,0.09559898078,0.0701513843
control,bloom,a rosy color,0,0,0,5,0.6,460.5,5.34,3.74,2.45,0.3218306303,0.3056474775
control,bloom,the period of greatest prosperity or productivity,0,0,0,5.8,0.45,508.25,5.17,2.42,3.41,0.1278731661,0.131856828
control,bloom,a powdery deposit on a surface,0,0,0,4.17,1.9,556.33,5.88,3.91,2.58,0.03733513737,0.1707291106
control,bloom,produce or yield flowers,0,1,1,3.75,3.27,433.33,4.53,3.75,2.09,0.3518942843,0.3331478486
control,bought,obtain by purchase; acquire by means of a financial transaction,1,1,1,2.11,1.59,494.67,4.74,2.86,2.84,0.3085850573,0.2538283803
control,bought,make illegal payments to in exchange for favors or influence,0,0,0,4.38,0,464,4.33,2.76,2.62,0.07449075549,0.1054106789
control,bought,be worth or be capable of buying,0,0,1,2.67,3.21,506,5.95,2.05,4.38,0.3384185359,0.3583774467
control,bought,acquire by trade or sacrifice or exchange,0,0,0,4.29,0,493.5,4.81,2.89,1.86,0.2394945025,0.1887315139
control,bought,accept as true,0,0,0,2.33,6.05,550,5.1,2.37,3.4,0.08140553674,0.1418207772
control,breakdown,the act of disrupting an established order so it fails to contin...,1,1,0,4.22,1.28,436.67,5.66,2.4,3.63,0.08436700267,0.113229416
control,breakdown,a mental or physical breakdown,0,0,0,4.25,0,469,4.07,2.7,2.86,0.1861828044,0.1924760342
control,breakdown,a cessation of normal operation,0,0,1,4.75,1.88,496,4.44,2.42,3.06,0.1099872005,0.1441885581
control,breakdown,an analysis into mutually exclusive categories,0,0,0,4,3.44,492.33,3.68,2.19,2.55,0.1508568935,0.1645683791
control,breathe,"draw air into, and expel out of, the lungs",1,1,1,5,0,530.8,5.73,3.65,2.64,0.2856932133,0.2777370475
control,breathe,be alive,0,0,1,0,0,570,2.64,3.14,3.9,0.3288181424,0.255870223
control,breathe,impart as if by breathing,0,0,0,1.5,5.56,404.5,4.38,3.05,2.55,0.4874863029,0.4491641223
control,breathe,allow the passage of air through,0,0,0,3.75,0,545,4.33,3.44,2.65,0.2380953928,0.2230916967
control,breathe,utter or tell,0,0,0,4,0,530.5,5.11,2.96,1.59,0.1617331207,0.2462410331
control,breathe,manifest or evince,0,0,0,5.67,1.94,511,4.74,2.43,2.41,0.02689988818,0.08224318922
control,breathe,take a short break from one's activities in order to relax,0,0,0,4,0,452,4.98,3.25,3.02,0.08516045513,0.1425108021
control,breathe,reach full flavor by absorbing air and being let to stand after ...,0,0,0,2.08,0.34,544.75,4.89,3.49,2.34,0.1537468475,0.1947271535
control,breathe,expel,0,0,0,1,0,509,5.51,2.88,1.36,0.1934098601,0.2121417373
control,budding,reproduction of some unicellular organisms,1,0,0,2.5,2.8,520,3.53,3.18,3.45,0.1700418343,0.0584249186
control,budding,develop buds,0,1,1,5,5.97,436,3.76,1.87,2.27,0.3903487325,0.2961158007
control,budding,start to grow or develop,0,0,0,4.5,0,458.33,4.8,2.54,1.96,0.2869202942,0.2447814097
control,budding,beginning to develop,0,0,0,0.5,,495.5,5.01,2.18,2.41,0.2745990828,0.2243220508
control,buy,an advantageous purchase,0,0,1,4.67,4.71,400.5,5.79,2.52,4.1,0.4875951074,0.4538442791
