Annotation	word	definitions	A1	A2	M-T	precission_definitions_mean	ic_precission_definitions_mean	familiarity_definitions_mean	imageability_definitions_mean	concreteness_definitions_mean	physicality_definitions_mean
control	acquired	come into the possession of something concrete or abstract	0.0	1.0	1.0	4.2	0.0	457.0	5.97	2.71	2.46
control	acquired	take on a certain form, attribute, or aspect	1.0	0.0	0.0	4.0	4.99	516.14	5.23	2.4	3.11
control	acquired	win something through one's efforts	1.0	0.0	0.0	1.75	8.73	437.4	4.52	2.7	03.09
control	acquired	gain knowledge or skills	0.0	0.0	0.0	4.25	0.0	489.5	4.84	1.98	2.73
control	acquired	gain through experience	0.0	0.0	0.0	1.0	1.36	477.5	6.34	02.02	2.91
control	acquired	gotten through environmental forces	0.0	0.0	0.0	1.0		449.67	5.32	2.75	2.24
control	adopted	choose and follow; as of theories, ideas, policies, strategies o...	0.0	0.0	0.0	6.56	7.18	525.22	5.31	2.34	2.97
control	adopted	take up and practice as one's own	0.0	0.0	0.0	1.83	0.0	545.75	4.9	3.18	2.72
control	adopted	take on titles, offices, duties, responsibilities	0.0		0.0	5.0	0.0	453.0	5.5	3.38	2.92
control	adopted	take on a certain form, attribute, or aspect	0.0	0.0	0.0	4.0	4.99	516.14	5.23	2.4	3.11
control	adopted	take into one's family	1.0	1.0	1.0	1.67	6.67	556.0	05.05	3.75	2.87
control	adopted	put into dramatic form	0.0	0.0	0.0	0.67	0.0	433.0	3.21	2.58	2.28
control	adopted	take up the cause, ideology, practice, method, of someone and us...	0.0	0.0	0.0	5.0	0.0	524.69	5.26	2.81	3.23
control	adopted	acquired as your own by free choice	0.0	1.0	0.0	1.5		515.33	4.53	2.16	3.88
control	agree	be in accord; be in agreement	1.0	0.0	1.0	4.17	0.0	503.67	5.67	1.9	1.9
control	agree	consent or assent to a condition, or agree to do something	0.0	0.0	1.0	6.29	0.0	417.0	05.08	2.2	3.13
control	agree	be compatible, similar or consistent; coincide in their characte...	0.0	0.0	0.0	2.88	4.7	537.71	5.16	2.32	2.69
control	agree	go together	0.0	0.0	0.0	1.0	0.0	444.5	5.92	2.94	2.7
control	agree	show grammatical agreement	0.0	0.0	0.0	2.67	0.0	474.33	4.86	2.84	3.33
control	agree	be agreeable or suitable	0.0	0.0	0.0	2.25	0.0	567.0	5.52	2.0	3.82
control	agree	achieve harmony of opinion, feeling, or purpose	0.0	1.0	1.0	5.67	0.0	567.71	4.92	1.98	03.06
control	alive	possessing life	1.0	1.0	1.0	5.5		512.5	6.23	2.38	2.6
control	alive	having life or vigor or spirit	0.0	0.0	0.0	5.5		565.33	5.17	2.19	3.4
control	alive	mentally perceptive and responsive	0.0	0.0	0.0	0.0		548.67	4.94	02.03	3.89
control	alive	capable of erupting	1.0	0.0	0.0	2.0		516.5	4.51	2.21	4.45
control	apart	remote and separate physically or socially; ; - W.H.Hudson	0.0	0.0	1.0	2.2		424.0	05.08	2.76	2.74
control	apart	having characteristics not shared by others; - Vannever Bush	0.0	0.0	0.0	3.5		499.57	4.55	2.38	2.56
control	apart	separated or at a distance in place or position or time	1.0	0.0	1.0	5.64		484.4	5.0	03.08	3.53
control	apart	not taken into account or excluded from consideration	1.0	0.0	0.0	4.67		495.25	4.89	2.53	4.41
control	apart	away from another or others	1.0	1.0	1.0	3.0		468.0	4.53	2.46	3.21
control	apart	placed or kept separate and distinct as for a purpose	1.0	0.0	0.0	4.25		509.0	5.15	2.42	2.74
control	apart	one from the other	1.0	0.0	1.0	0.0		469.0	2.78	3.97	2.36
control	apart	into parts or pieces	1.0	0.0	1.0	5.33		502.5	4.69	3.72	2.65
control	ate	take in solid food	1.0	1.0	1.0	3.25	0.0	530.33	5.58	04.09	2.55
control	ate	eat a meal; take a meal	1.0	0.0	1.0	5.83	3.76	515.2	5.21	4.18	03.08
control	ate	take in food; used of animals only	1.0	1.0	1.0	3.0	0.0	527.0	5.63	3.78	2.67
control	ate	worry or cause anxiety in a persistent way	0.0	0.0	0.0	4.75	0.0	543.2	5.59	2.35	2.76
control	ate	use up	0.0	0.0	0.0	0.0	0.0	589.0	2.73	2.78	2.33
control	ate	cause to deteriorate due to the action of water, air, or an acid	0.0	0.0	0.0	4.33	0.0	544.44	5.91	3.55	3.71
control	attacked	launch an attack or assault on; begin hostilities or start warfa...	1.0	1.0	1.0	5.45	1.9	488.14	4.9	3.19	2.54
control	attacked	attack in speech or writing	1.0	0.0	0.0	5.0	4.26	427.33	5.66	3.59	3.29
