,word,sentence,word_sense,label,definitions,M-T,defs_means,ds_means,phy,img,conc,nb17,prec,IC,phy_ds,img_ds,conc_ds,nb17_ds,prec_ds,IC_ds
0,mother,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",a woman who has given birth to a child (also used as a term of address to your mother),0.0,a woman who has given birth to a child,1.0,"{'physicality': 1.912477451393302, 'imageability': 3.9996457355941684, 'concreteness': 3.0644572643203554, 'nb17': 0.14815794, 'precision': 5.0, 'precision_IC': 1.4742995250196806}","{'physicality': 1.912477451393302, 'imageability': 3.9996457355941684, 'concreteness': 3.0644572643203554, 'nb17': 0.14815794, 'precision': 5.0, 'precision_IC': 1.4742995250196806}",1.912477451393302,3.999645735594168,3.064457264320356,0.14815794,5.0,1.4742995250196806,1.912477451393302,3.999645735594168,3.064457264320356,0.14815794,5.0,1.4742995250196806
1,mother,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",a woman who has given birth to a child (also used as a term of address to your mother),0.0,a stringy slimy substance consisting of yeast cells and bacteria...,0.0,"{'physicality': 2.271459948112462, 'imageability': 4.056428158692648, 'concreteness': 3.142159608793183, 'nb17': 0.023214025, 'precision': 4.125, 'precision_IC': 3.5126539711236218}","{'physicality': 1.912477451393302, 'imageability': 3.9996457355941684, 'concreteness': 3.0644572643203554, 'nb17': 0.14815794, 'precision': 5.0, 'precision_IC': 1.4742995250196806}",2.271459948112462,4.056428158692648,3.142159608793183,0.023214025,4.125,3.5126539711236218,1.912477451393302,3.999645735594168,3.064457264320356,0.14815794,5.0,1.4742995250196806
2,mother,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",a woman who has given birth to a child (also used as a term of address to your mother),0.0,a term of address for an elderly woman,1.0,"{'physicality': 1.8165823495869837, 'imageability': 3.926839733373706, 'concreteness': 3.013298671993054, 'nb17': 0.09166987, 'precision': 5.833333333333333, 'precision_IC': 1.6566000160306635}","{'physicality': 1.912477451393302, 'imageability': 3.9996457355941684, 'concreteness': 3.0644572643203554, 'nb17': 0.14815794, 'precision': 5.0, 'precision_IC': 1.4742995250196806}",1.816582349586984,3.926839733373706,3.013298671993054,0.09166987,5.833333333333333,1.6566000160306635,1.912477451393302,3.999645735594168,3.064457264320356,0.14815794,5.0,1.4742995250196806
3,mother,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",a woman who has given birth to a child (also used as a term of address to your mother),0.0,a term of address for a mother superior,1.0,"{'physicality': 1.6670218289343985, 'imageability': 3.5201234488876416, 'concreteness': 2.7531684690609226, 'nb17': 0.14406301, 'precision': 6.4, 'precision_IC': 0.7838379932818711}","{'physicality': 1.912477451393302, 'imageability': 3.9996457355941684, 'concreteness': 3.0644572643203554, 'nb17': 0.14815794, 'precision': 5.0, 'precision_IC': 1.4742995250196806}",1.6670218289343983,3.5201234488876416,2.7531684690609226,0.14406301,6.4,0.7838379932818711,1.912477451393302,3.999645735594168,3.064457264320356,0.14815794,5.0,1.4742995250196806
4,mother,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",a woman who has given birth to a child (also used as a term of address to your mother),0.0,a condition that is the inspiration for an activity or situation,0.0,"{'physicality': 1.7855606202102408, 'imageability': 3.41669866737102, 'concreteness': 2.564516973069694, 'nb17': 0.033480186, 'precision': 5.75, 'precision_IC': 1.5606662456157738}","{'physicality': 1.912477451393302, 'imageability': 3.9996457355941684, 'concreteness': 3.0644572643203554, 'nb17': 0.14815794, 'precision': 5.0, 'precision_IC': 1.4742995250196806}",1.7855606202102408,3.41669866737102,2.564516973069694,0.033480186,5.75,1.5606662456157738,1.912477451393302,3.999645735594168,3.064457264320356,0.14815794,5.0,1.4742995250196806
5,mother,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",a woman who has given birth to a child (also used as a term of address to your mother),0.0,care for like a mother,1.0,"{'physicality': 2.120188990454186, 'imageability': 3.7839768844360067, 'concreteness': 2.689826625246238, 'nb17': 0.23268929, 'precision': 6.333333333333333, 'precision_IC': 6.6644908329243915}","{'physicality': 1.912477451393302, 'imageability': 3.9996457355941684, 'concreteness': 3.0644572643203554, 'nb17': 0.14815794, 'precision': 5.0, 'precision_IC': 1.4742995250196806}",2.120188990454186,3.783976884436007,2.689826625246238,0.23268929,6.333333333333333,6.664490832924392,1.912477451393302,3.999645735594168,3.064457264320356,0.14815794,5.0,1.4742995250196806
6,mother,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",a woman who has given birth to a child (also used as a term of address to your mother),0.0,make children,1.0,"{'physicality': 3.1253176036423174, 'imageability': 5.057635815584142, 'concreteness': 3.7522427665222207, 'nb17': 0.19648938, 'precision': 4.0, 'precision_IC': 2.935094754836633}","{'physicality': 1.912477451393302, 'imageability': 3.9996457355941684, 'concreteness': 3.0644572643203554, 'nb17': 0.14815794, 'precision': 5.0, 'precision_IC': 1.4742995250196806}",3.1253176036423174,5.057635815584142,3.7522427665222207,0.19648938,4.0,2.935094754836633,1.912477451393302,3.999645735594168,3.064457264320356,0.14815794,5.0,1.4742995250196806
49,ate,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",take in solid food,0.0,take in solid food,1.0,"{'physicality': 2.660832249546134, 'imageability': 4.534744859861412, 'concreteness': 3.3404338741201287, 'nb17': 0.1253834, 'precision': 3.25, 'precision_IC': 0.0}","{'physicality': 2.660832249546134, 'imageability': 4.534744859861412, 'concreteness': 3.3404338741201287, 'nb17': 0.1253834, 'precision': 3.25, 'precision_IC': 0.0}",2.660832249546134,4.534744859861412,3.3404338741201287,0.1253834,3.25,0.0,2.660832249546134,4.534744859861412,3.3404338741201287,0.1253834,3.25,0.0
50,ate,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",take in solid food,0.0,eat a meal; take a meal,1.0,"{'physicality': 2.49404489904084, 'imageability': 4.282346467983618, 'concreteness': 3.4462045728196955, 'nb17': 0.28320548, 'precision': 5.833333333333333, 'precision_IC': 3.759757855898153}","{'physicality': 2.660832249546134, 'imageability': 4.534744859861412, 'concreteness': 3.3404338741201287, 'nb17': 0.1253834, 'precision': 3.25, 'precision_IC': 0.0}",2.49404489904084,4.282346467983618,3.4462045728196955,0.28320548,5.833333333333333,3.759757855898153,2.660832249546134,4.534744859861412,3.3404338741201287,0.1253834,3.25,0.0
51,ate,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",take in solid food,0.0,take in food; used of animals only,1.0,"{'physicality': 1.8878745643105688, 'imageability': 3.6818458382207973, 'concreteness': 2.868764907492487, 'nb17': 0.059694957, 'precision': 3.0, 'precision_IC': 0.0}","{'physicality': 2.660832249546134, 'imageability': 4.534744859861412, 'concreteness': 3.3404338741201287, 'nb17': 0.1253834, 'precision': 3.25, 'precision_IC': 0.0}",1.8878745643105688,3.681845838220797,2.868764907492487,0.059694957,3.0,0.0,2.660832249546134,4.534744859861412,3.3404338741201287,0.1253834,3.25,0.0
